순위,곡명,아티스트,앨범,장르
1,에잇(Prod.&Feat. SUGA of BTS),아이유,에잇,록/메탈
2,아로하,조정석,슬기로운 의사생활 OST Part 3,"발라드, 국내드라마"
3,사랑하게 될 줄 알았어,전미도,슬기로운 의사생활 OST Part 11,"발라드, 국내드라마"
4,MORE & MORE,TWICE (트와이스),MORE & MORE,댄스
5,깡 Official Remix,식케이 (Sik-K),깡 Official Remix,랩/힙합
6,살짝 설렜어 (Nonstop),오마이걸,NONSTOP,댄스
7,나비와 고양이 (feat.백현 (BAEKHYUN)),볼빨간사춘기,사춘기집Ⅱ 꽃 본 나비,"인디음악, 포크/블루스"
8,Candy,백현 (BAEKHYUN),Delight - The 2nd Mini Album,R&B;/Soul
9,ON,방탄소년단,MAP OF THE SOUL : 7,랩/힙합
10,좋은 사람 있으면 소개시켜줘,조이 (JOY),슬기로운 의사생활 OST Part 2,"발라드, 국내드라마"
11,"너에게 난, 나에게 넌",미도와 파라솔,슬기로운 의사생활 OST Part 12,"발라드, 국내드라마"
12,화려하지 않은 고백,규현 (KYUHYUN),슬기로운 의사생활 OST Part 4,"발라드, 국내드라마"
13,Dolphin,오마이걸,NONSTOP,댄스
14,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA,댄스
15,시작,가호 (Gaho),이태원 클라쓰 OST Part.2,"록/메탈, 국내드라마"
16,Dance Monkey,Tones And I,The Kids Are Coming,POP
17,처음처럼,엠씨더맥스 (M.C the MAX),CEREMONIA,발라드
18,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3,"록/메탈, 국내드라마"
19,아무노래,지코 (ZICO),아무노래,랩/힙합
20,너를 사랑하고 있어,백현 (BAEKHYUN),낭만닥터 김사부 2 OST Part.1,"발라드, 국내드라마"
21,Memories,Maroon 5,Memories,POP
22,Blueming,아이유,Love poem,록/메탈
23,어떻게 지내 (Prod. By VAN.C),오반,어떻게 지내,"랩/힙합, 인디음악"
24,덤더럼(Dumhdurum),Apink (에이핑크),LOOK,댄스
25,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,성인가요
26,그대 고운 내사랑,어반자카파,슬기로운 의사생활 OST Part 5,"발라드, 국내드라마"
27,METEOR,창모 (CHANGMO),Boyhood,랩/힙합
28,Don't Start Now,Dua Lipa,Future Nostalgia,POP
29,00:00 (Zero O’Clock),방탄소년단,MAP OF THE SOUL : 7,랩/힙합
30,Bungee,백현 (BAEKHYUN),Delight - The 2nd Mini Album,R&B;/Soul
31,Black Swan,방탄소년단,MAP OF THE SOUL : 7,랩/힙합
