순위,곡명,아티스트,앨범,장르,남성비율,10,20,30,40,50,60,가수분류,곡분류
1,에잇(Prod.&Feat. SUGA of BTS),아이유,에잇,록/메탈,0.447,0.12,0.42,0.23,0.14,0.04,0.05,솔로(여성),"이별,그리움,섭섭"
2,아로하,조정석,슬기로운 의사생활 OST Part 3,"발라드, 국내드라마",0.492,0.1,0.39,0.26,0.16,0.05,0.04,솔로(남성),"사랑,행복,기쁨"
3,사랑하게 될 줄 알았어,전미도,슬기로운 의사생활 OST Part 11,"발라드, 국내드라마",0.447,0.09,0.39,0.29,0.15,0.04,0.04,솔로(여성),"사랑, 행복, 아련함"
4,MORE & MORE,TWICE (트와이스),MORE & MORE,댄스,0.42,0.12,0.42,0.24,0.13,0.04,0.05,아이돌(여성),"댄스,유혹,섹시"
5,깡 Official Remix,식케이 (Sik-K),깡 Official Remix,랩/힙합,0.491,0.09,0.45,0.26,0.12,0.05,0.03,솔로(남성),"스웩,댄스,자아"
6,살짝 설렜어 (Nonstop),오마이걸,NONSTOP,댄스,0.441,0.12,0.4,0.25,0.15,0.05,0.03,아이돌(여성),"댄스,사랑,설렘"
7,나비와 고양이 (feat.백현 (BAEKHYUN)),볼빨간사춘기,사춘기집Ⅱ 꽃 본 나비,"인디음악, 포크/블루스",0.481,0.1,0.42,0.26,0.14,0.05,0.03,솔로(여성),"사랑,아련,행복"
8,Candy,백현 (BAEKHYUN),Delight - The 2nd Mini Album,R&B;/Soul,0.356,0.14,0.35,0.26,0.17,0.05,0.03,솔로(남성),"설렘,유혹,섹시"
9,ON,방탄소년단,MAP OF THE SOUL : 7,랩/힙합,0.421,0.11,0.3,0.3,0.2,0.05,0.04,아이돌(남성),"댄스,자아,방황"
10,좋은 사람 있으면 소개시켜줘,조이 (JOY),슬기로운 의사생활 OST Part 2,"발라드, 국내드라마",0.444,0.09,0.36,0.28,0.17,0.05,0.05,솔로(여성),"사랑,그리움,위로"
11,"너에게 난, 나에게 넌",미도와 파라솔,슬기로운 의사생활 OST Part 12,"발라드, 국내드라마",0.431,0.1,0.36,0.27,0.18,0.05,0.04,밴드(혼성),"추억,아련함,그리움"
12,화려하지 않은 고백,규현 (KYUHYUN),슬기로운 의사생활 OST Part 4,"발라드, 국내드라마",0.451,0.08,0.35,0.3,0.18,0.05,0.04,솔로(남성),"사랑,설렘,행복"
13,Dolphin,오마이걸,NONSTOP,댄스,0.422,0.13,0.4,0.23,0.15,0.05,0.04,아이돌(여성),"댄스,설렘,발랄"
14,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA,댄스,0.447,0.09,0.31,0.31,0.19,0.05,0.05,아이돌(남성),"댄스,신남,사랑"
15,시작,가호 (Gaho),이태원 클라쓰 OST Part.2,"록/메탈, 국내드라마",0.541,0.08,0.4,0.27,0.16,0.05,0.04,솔로(남성),"청춘,자아,위로"
16,Dance Monkey,Tones And I,The Kids Are Coming,POP,0.507,0.09,0.41,0.26,0.14,0.05,0.05,솔로(여성),"사랑,댄스,우울"
17,처음처럼,엠씨더맥스 (M.C the MAX),CEREMONIA,발라드,0.582,0.09,0.39,0.28,0.15,0.05,0.04,밴드(남성),"겨울, 그리움, 추억"
18,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3,"록/메탈, 국내드라마",0.52,0.06,0.38,0.31,0.15,0.05,0.05,솔로(남성),"사랑,그리움,섭섭"
19,아무노래,지코 (ZICO),아무노래,랩/힙합,0.514,0.06,0.38,0.32,0.15,0.05,0.04,솔로(남성),"유쾌,댄스,방황"
20,너를 사랑하고 있어,백현 (BAEKHYUN),낭만닥터 김사부 2 OST Part.1,"발라드, 국내드라마",0.443,0.11,0.32,0.28,0.19,0.06,0.04,솔로(남성),"사랑,아련함,그리움"
21,Memories,Maroon 5,Memories,POP,0.485,0.12,0.38,0.24,0.16,0.05,0.05,밴드(남성),"기쁨,아련함,추억"
22,Blueming,아이유,Love poem,록/메탈,0.483,0.09,0.41,0.26,0.15,0.05,0.04,솔로(여성),"발랄,설렘,행복"
23,어떻게 지내 (Prod. By VAN.C),오반,어떻게 지내,"랩/힙합, 인디음악",0.507,0.14,0.42,0.19,0.15,0.06,0.04,솔로(남성),"그리움,아련함,슬픔"
24,덤더럼(Dumhdurum),Apink (에이핑크),LOOK,댄스,0.491,0.07,0.4,0.3,0.14,0.05,0.04,아이돌(여성),"댄스,이별,섭섭"
25,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,성인가요,0.431,0.06,0.3,0.29,0.2,0.1,0.05,솔로(남성),"사랑,아련함,위로"
26,그대 고운 내사랑,어반자카파,슬기로운 의사생활 OST Part 5,"발라드, 국내드라마",0.453,0.06,0.34,0.32,0.18,0.05,0.05,그룹(혼성),"사랑,슬픔,위로,그리움"
27,METEOR,창모 (CHANGMO),Boyhood,랩/힙합,0.566,0.1,0.44,0.22,0.14,0.05,0.05,솔로(남성),"시원함,추억,행복,자아"
28,Don't Start Now,Dua Lipa,Future Nostalgia,POP,0.479,0.09,0.41,0.26,0.15,0.05,0.04,솔로(여성),"이별,시원함,자아,유쾌"
29,00:00 (Zero O’Clock),방탄소년단,MAP OF THE SOUL : 7,랩/힙합,0.399,0.12,0.26,0.3,0.22,0.06,0.06,아이돌(남성),"댄스,위로,슬픔,자아 "
30,Bungee,백현 (BAEKHYUN),Delight - The 2nd Mini Album,R&B;/Soul,0.353,0.15,0.32,0.25,0.18,0.06,0.04,솔로(남성),"사랑,힘듦,발랄,행복"
