DA_CC,DA_EC,DA_LMP,DA_MLC,DEMAND,Date,Day,DayOfYear,DewPnt,DryBulb,Hour,Month,RT_CC,RT_EC,RT_LMP,RT_MLC,WeekDay,Year
-0.48,59.68,59.71,0.51,1763,1/1/2008,1,1,19,26,1,1,0,118.3,118.68,0.38,1,2008
-0.03,49.37,49.76,0.42,1680,1/1/2008,1,1,19,26,2,1,0,120.26,121.06,0.8,1,2008
0,43.91,44.29,0.38,1634,1/1/2008,1,1,19,26,3,1,0,87.69,88.1,0.41,1,2008
0,42.81,43.18,0.37,1602,1/1/2008,1,1,19,25,4,1,0,57.73,58.08,0.35,1,2008
0,43.91,44.29,0.38,1605,1/1/2008,1,1,19,25,5,1,0,65.78,66.18,0.4,1,2008
0,43.77,44.14,0.37,1649,1/1/2008,1,1,19,27,6,1,0,109.49,110.21,0.72,1,2008
0,52.91,53.37,0.46,1703,1/1/2008,1,1,19,27,7,1,0,64.49,64.9,0.41,1,2008
0,45.32,45.73,0.41,1748,1/1/2008,1,1,20,26,8,1,0,11.72,11.78,0.06,1,2008
0,52.29,52.76,0.47,1842,1/1/2008,1,1,20,25,9,1,0,49.2,49.47,0.27,1,2008
0,56.03,56.53,0.5,1967,1/1/2008,1,1,20,26,10,1,0,55.87,56.19,0.32,1,2008
-0.52,61.75,61.77,0.54,2076,1/1/2008,1,1,21,27,11,1,0,84.58,85.04,0.46,1,2008
-0.54,59.95,59.94,0.53,2169,1/1/2008,1,1,21,28,12,1,0,95.69,96.13,0.44,1,2008
-0.44,62.47,62.58,0.55,2212,1/1/2008,1,1,24,27,13,1,0,108.63,109.35,0.72,1,2008
-0.36,58.55,58.7,0.51,2200,1/1/2008,1,1,27,29,14,1,0,127.13,128.07,0.94,1,2008
-0.32,55.72,55.89,0.49,2184,1/1/2008,1,1,28,30,15,1,0,99.86,100.44,0.58,1,2008
-0.36,57.97,58.12,0.51,2180,1/1/2008,1,1,29,31,16,1,0,81.65,82.18,0.53,1,2008
-0.08,72.91,73.48,0.65,2310,1/1/2008,1,1,28,30,17,1,0,92.99,93.25,0.26,1,2008
0,94,94.84,0.84,2496,1/1/2008,1,1,27,30,18,1,0,135.51,135.78,0.27,1,2008
-0.56,76.87,76.98,0.67,2465,1/1/2008,1,1,27,29,19,1,0,100.75,100.93,0.18,1,2008
-0.39,73.25,73.49,0.63,2401,1/1/2008,1,1,27,29,20,1,0,131.69,132.01,0.32,1,2008
-0.16,71.07,71.52,0.61,2297,1/1/2008,1,1,26,28,21,1,0,119.48,120.08,0.6,1,2008
-0.66,62.92,62.8,0.54,2146,1/1/2008,1,1,26,28,22,1,0,79.15,79.56,0.41,1,2008
-0.41,54.72,54.78,0.47,1957,1/1/2008,1,1,25,28,23,1,0,52.15,52.4,0.25,1,2008
0,55.35,55.82,0.47,1795,1/1/2008,1,1,25,27,24,1,0,60.02,60.37,0.35,1,2008
-0.11,82.16,82.67,0.62,1694,1/2/2008,2,2,25,27,1,1,0,38.72,39.11,0.39,2,2008
-0.27,75.19,75.49,0.57,1627,1/2/2008,2,2,24,26,2,1,0,7.55,7.63,0.08,2,2008
-0.42,68.35,68.45,0.52,1614,1/2/2008,2,2,23,27,3,1,0,6.24,6.29,0.05,2,2008
-0.24,68.28,68.56,0.52,1625,1/2/2008,2,2,23,27,4,1,0,31.33,31.63,0.3,2,2008
-0.06,69.98,70.46,0.54,1676,1/2/2008,2,2,24,27,5,1,0,26.2,26.47,0.27,2,2008
-1.6,84.38,83.43,0.65,1844,1/2/2008,2,2,24,27,6,1,0,77.61,78.45,0.84,2,2008
-3.66,82.67,79.65,0.64,2163,1/2/2008,2,2,25,28,7,1,0,78.7,79.32,0.62,2,2008
-2.23,93.25,91.74,0.72,2348,1/2/2008,2,2,21,26,8,1,0,83.26,83.82,0.56,2,2008
-1.88,98.04,96.91,0.75,2401,1/2/2008,2,2,19,24,9,1,0,81.22,81.69,0.47,2,2008
-1.29,102.52,102.02,0.79,2428,1/2/2008,2,2,17,23,10,1,0,110.19,110.73,0.54,2,2008
-0.94,103.54,103.4,0.8,2470,1/2/2008,2,2,16,23,11,1,0,129.03,129.72,0.69,2,2008
-0.75,106.19,106.25,0.81,2482,1/2/2008,2,2,15,22,12,1,0,134.46,135.56,1.1,2,2008
-0.9,103.97,103.86,0.79,2463,1/2/2008,2,2,15,22,13,1,0,128.26,129.32,1.06,2,2008
-1.12,99.59,99.22,0.75,2449,1/2/2008,2,2,15,24,14,1,0,92.19,92.75,0.56,2,2008
-1.35,91.65,90.99,0.69,2445,1/2/2008,2,2,14,24,15,1,0,76.1,76.54,0.44,2,2008
-1.12,95.44,95.04,0.72,2468,1/2/2008,2,2,11,21,16,1,0,136.89,137.72,0.83,2,2008
-2.41,120.47,119,0.94,2650,1/2/2008,2,2,8,19,17,1,0,191.45,192.65,1.2,2,2008
-3.82,137.89,135.14,1.07,2852,1/2/2008,2,2,5,17,18,1,0,263.05,263.99,0.94,2,2008
-3.86,128.25,125.39,1,2866,1/2/2008,2,2,1,14,19,1,0,164.4,165.35,0.95,2,2008
-3.05,124.78,122.7,0.97,2814,1/2/2008,2,2,-1,12,20,1,0,185.69,187.31,1.62,2,2008
-1.62,115.69,114.96,0.89,2738,1/2/2008,2,2,-3,10,21,1,0,145.62,146.89,1.27,2,2008
-0.61,105.12,105.31,0.8,2594,1/2/2008,2,2,-3,9,22,1,0,123.7,124.54,0.84,2,2008
-1.44,85.79,85,0.65,2381,1/2/2008,2,2,-4,7,23,1,0,96.79,97.31,0.52,2,2008
-2.42,80,78.18,0.6,2199,1/2/2008,2,2,-6,6,24,1,0,93.33,93.6,0.27,2,2008
-0.83,99.65,99.42,0.6,2062,1/3/2008,3,3,-5,5,1,1,0,93.99,94.31,0.32,3,2008
-0.77,99.54,99.37,0.6,2010,1/3/2008,3,3,-6,5,2,1,0,94.26,94.55,0.29,3,2008
