,DA_CC,DA_EC,DA_LMP,DA_MLC,DEMAND,Date,Day,DayOfYear,DewPnt,DryBulb,Hour,Month,RT_CC,RT_EC,RT_LMP,RT_MLC,WeekDay,Year
0,0.0,38.37,38.72,0.35,1882.7082058986011,1/1/2011,1,1,33,41,1,1,0.0,41.48,41.77,0.29,5,2011
1,0.0,36.75,37.07,0.32,1848.4802543104358,1/1/2011,1,1,31,39,2,1,0.0,34.82,35.12,0.3,5,2011
2,0.0,35.91,36.21,0.3,1832.538472034164,1/1/2011,1,1,32,39,3,1,0.0,35.29,35.65,0.36,5,2011
3,0.0,35.91,36.21,0.3,1826.3535634921077,1/1/2011,1,1,37,42,4,1,0.0,33.97,34.34,0.37,5,2011
4,0.0,36.04,36.34,0.3,1829.125048453046,1/1/2011,1,1,38,43,5,1,0.0,33.49,33.85,0.36,5,2011
5,0.0,36.12,36.36,0.24,1835.304453713201,1/1/2011,1,1,39,44,6,1,0.0,34.11,34.43,0.32,5,2011
6,0.0,37.51,37.59,0.08,1839.1067152447977,1/1/2011,1,1,41,46,7,1,0.0,33.9,34.21,0.31,5,2011
7,0.0,38.68,38.56,-0.12,1808.125417288767,1/1/2011,1,1,38,40,8,1,0.0,30.02,30.27,0.25,5,2011
8,-4.15,44.27,40.06,-0.06,1835.4009548359295,1/1/2011,1,1,39,42,9,1,0.0,32.23,32.48,0.25,5,2011
9,0.0,39.5,39.49,-0.01,1845.7375344843854,1/1/2011,1,1,41,46,10,1,0.0,32.71,32.99,0.28,5,2011
10,0.0,40.22,40.25,0.03,1878.7470786442814,1/1/2011,1,1,43,51,11,1,0.0,36.06,36.37,0.31,5,2011
11,0.0,40.2,40.29,0.09,1887.5301198576383,1/1/2011,1,1,44,52,12,1,0.0,35.46,35.73,0.27,5,2011
12,0.0,40.15,40.25,0.1,1912.0780885342726,1/1/2011,1,1,44,56,13,1,0.0,34.4,34.64,0.24,5,2011
13,0.0,39.0,39.1,0.1,1889.267603055654,1/1/2011,1,1,45,56,14,1,0.0,26.9,27.08,0.18,5,2011
14,0.0,38.28,38.35,0.07,1890.707260362766,1/1/2011,1,1,44,58,15,1,0.0,21.95,22.09,0.14,5,2011
15,0.0,38.54,38.6,0.06,1888.5483238557056,1/1/2011,1,1,41,55,16,1,0.0,25.01,25.19,0.18,5,2011
16,-2.01,42.83,40.87,0.05,1901.8462055875077,1/1/2011,1,1,39,51,17,1,0.0,36.57,36.87,0.3,5,2011
17,0.0,54.96,54.86,-0.1,1975.118842160844,1/1/2011,1,1,37,50,18,1,0.0,43.09,43.5,0.41,5,2011
18,0.0,51.56,51.5,-0.06,1945.902042106302,1/1/2011,1,1,38,49,19,1,0.0,39.06,39.41,0.35,5,2011
19,0.28,45.05,45.47,0.14,1910.1826931552923,1/1/2011,1,1,38,47,20,1,0.0,37.84,38.17,0.33,5,2011
20,0.0,40.29,40.38,0.09,1865.2972121387584,1/1/2011,1,1,41,47,21,1,0.0,36.54,36.87,0.33,5,2011
21,0.0,39.05,39.16,0.11,1853.1786790146784,1/1/2011,1,1,43,47,22,1,0.0,36.45,36.77,0.32,5,2011
22,0.0,39.47,39.59,0.12,1853.8856088001903,1/1/2011,1,1,45,47,23,1,0.0,35.08,35.33,0.25,5,2011
23,0.0,37.38,37.51,0.13,1851.9285846420744,1/1/2011,1,1,45,47,24,1,0.0,34.53,34.7,0.17,5,2011
24,0.0,37.76,37.89,0.13,1829.3323729432243,1/2/2011,2,2,46,46,1,1,0.0,29.98,30.17,0.19,6,2011
25,0.0,36.02,36.24,0.22,1806.5576049456274,1/2/2011,2,2,46,46,2,1,0.0,22.9,23.08,0.18,6,2011
26,0.0,34.38,34.59,0.21,1788.735077726219,1/2/2011,2,2,46,46,3,1,0.0,19.87,20.05,0.18,6,2011
27,0.0,32.93,33.13,0.2,1762.7114927736575,1/2/2011,2,2,46,46,4,1,0.0,8.26,8.33,0.07,6,2011
28,0.0,32.97,33.17,0.2,1752.5879921163437,1/2/2011,2,2,46,46,5,1,0.0,1.65,1.66,0.01,6,2011
29,0.0,35.18,35.4,0.22,1760.4326536973265,1/2/2011,2,2,45,45,6,1,0.0,0.0,0.0,0.0,6,2011
30,0.0,36.01,36.17,0.16,1761.7143101108215,1/2/2011,2,2,45,45,7,1,0.0,0.0,0.0,0.0,6,2011
31,0.0,38.15,38.38,0.23,1843.983954760959,1/2/2011,2,2,45,45,8,1,0.0,30.95,31.09,0.14,6,2011
