DA_CC,DA_EC,DA_LMP,DA_MLC,DEMAND,Date,Day,DayOfYear,DewPnt,DryBulb,Hour,Month,RT_CC,RT_EC,RT_LMP,RT_MLC,WeekDay,Year
0,38.37,38.72,0.35,,1/1/2011,1,1,33,41,1,1,0,41.48,41.77,0.29,5,2011
0,36.75,37.07,0.32,,1/1/2011,1,1,31,39,2,1,0,34.82,35.12,0.3,5,2011
0,35.91,36.21,0.3,,1/1/2011,1,1,32,39,3,1,0,35.29,35.65,0.36,5,2011
0,35.91,36.21,0.3,,1/1/2011,1,1,37,42,4,1,0,33.97,34.34,0.37,5,2011
0,36.04,36.34,0.3,,1/1/2011,1,1,38,43,5,1,0,33.49,33.85,0.36,5,2011
0,36.12,36.36,0.24,,1/1/2011,1,1,39,44,6,1,0,34.11,34.43,0.32,5,2011
0,37.51,37.59,0.08,,1/1/2011,1,1,41,46,7,1,0,33.9,34.21,0.31,5,2011
0,38.68,38.56,-0.12,,1/1/2011,1,1,38,40,8,1,0,30.02,30.27,0.25,5,2011
-4.15,44.27,40.06,-0.06,,1/1/2011,1,1,39,42,9,1,0,32.23,32.48,0.25,5,2011
0,39.5,39.49,-0.01,,1/1/2011,1,1,41,46,10,1,0,32.71,32.99,0.28,5,2011
0,40.22,40.25,0.03,,1/1/2011,1,1,43,51,11,1,0,36.06,36.37,0.31,5,2011
0,40.2,40.29,0.09,,1/1/2011,1,1,44,52,12,1,0,35.46,35.73,0.27,5,2011
0,40.15,40.25,0.1,,1/1/2011,1,1,44,56,13,1,0,34.4,34.64,0.24,5,2011
0,39,39.1,0.1,,1/1/2011,1,1,45,56,14,1,0,26.9,27.08,0.18,5,2011
0,38.28,38.35,0.07,,1/1/2011,1,1,44,58,15,1,0,21.95,22.09,0.14,5,2011
0,38.54,38.6,0.06,,1/1/2011,1,1,41,55,16,1,0,25.01,25.19,0.18,5,2011
-2.01,42.83,40.87,0.05,,1/1/2011,1,1,39,51,17,1,0,36.57,36.87,0.3,5,2011
0,54.96,54.86,-0.1,,1/1/2011,1,1,37,50,18,1,0,43.09,43.5,0.41,5,2011
0,51.56,51.5,-0.06,,1/1/2011,1,1,38,49,19,1,0,39.06,39.41,0.35,5,2011
0.28,45.05,45.47,0.14,,1/1/2011,1,1,38,47,20,1,0,37.84,38.17,0.33,5,2011
0,40.29,40.38,0.09,,1/1/2011,1,1,41,47,21,1,0,36.54,36.87,0.33,5,2011
0,39.05,39.16,0.11,,1/1/2011,1,1,43,47,22,1,0,36.45,36.77,0.32,5,2011
0,39.47,39.59,0.12,,1/1/2011,1,1,45,47,23,1,0,35.08,35.33,0.25,5,2011
0,37.38,37.51,0.13,,1/1/2011,1,1,45,47,24,1,0,34.53,34.7,0.17,5,2011
0,37.76,37.89,0.13,,1/2/2011,2,2,46,46,1,1,0,29.98,30.17,0.19,6,2011
0,36.02,36.24,0.22,,1/2/2011,2,2,46,46,2,1,0,22.9,23.08,0.18,6,2011
0,34.38,34.59,0.21,,1/2/2011,2,2,46,46,3,1,0,19.87,20.05,0.18,6,2011
0,32.93,33.13,0.2,,1/2/2011,2,2,46,46,4,1,0,8.26,8.33,0.07,6,2011
0,32.97,33.17,0.2,,1/2/2011,2,2,46,46,5,1,0,1.65,1.66,0.01,6,2011
0,35.18,35.4,0.22,,1/2/2011,2,2,45,45,6,1,0,0,0,0,6,2011
0,36.01,36.17,0.16,,1/2/2011,2,2,45,45,7,1,0,0,0,0,6,2011
0,38.15,38.38,0.23,,1/2/2011,2,2,45,45,8,1,0,30.95,31.09,0.14,6,2011
0,39.23,39.54,0.31,,1/2/2011,2,2,45,45,9,1,0,45.72,45.89,0.17,6,2011
0,39.95,40.16,0.21,,1/2/2011,2,2,44,44,10,1,0,39.43,39.69,0.26,6,2011
0,40.18,40.47,0.29,,1/2/2011,2,2,44,44,11,1,0,41.56,41.76,0.2,6,2011
0,40.44,40.73,0.29,,1/2/2011,2,2,45,46,12,1,0,41.15,41.37,0.22,6,2011
0,40.17,40.38,0.21,,1/2/2011,2,2,44,47,13,1,0,40,40.25,0.25,6,2011
0,39.73,39.97,0.24,,1/2/2011,2,2,44,46,14,1,0,38.6,38.85,0.25,6,2011
0,39.06,39.29,0.23,,1/2/2011,2,2,44,46,15,1,0,37.58,37.81,0.23,6,2011
0,40.09,40.23,0.14,,1/2/2011,2,2,43,46,16,1,0,37.56,37.71,0.15,6,2011
0,40.48,40.71,0.23,,1/2/2011,2,2,41,44,17,1,0,47.35,47.51,0.16,6,2011
0,59.32,59.6,0.28,,1/2/2011,2,2,40,42,18,1,0,61.12,61.25,0.13,6,2011
0,55.98,56.37,0.39,,1/2/2011,2,2,30,41,19,1,0,46.97,47.13,0.16,6,2011
0,48.9,49.27,0.37,,1/2/2011,2,2,26,39,20,1,0,48.14,48.32,0.18,6,2011
0,42.31,42.7,0.39,,1/2/2011,2,2,26,37,21,1,0,40.58,40.84,0.26,6,2011
0,41.31,41.6,0.29,,1/2/2011,2,2,25,35,22,1,0,37.53,37.75,0.22,6,2011
0,41.05,41.33,0.28,,1/2/2011,2,2,24,34,23,1,0,35.3,35.47,0.17,6,2011
0,38.92,39.02,0.1,,1/2/2011,2,2,21,31,24,1,0,26.68,26.79,0.11,6,2011
0,36.27,36.41,0.14,,1/3/2011,3,3,19,29,1,1,0,23.67,23.82,0.15,0,2011
0,34.23,34.42,0.19,,1/3/2011,3,3,17,28,2,1,0,30.08,30.33,0.25,0,2011
0,34.47,34.65,0.18,,1/3/2011,3,3,15,27,3,1,0,30.74,30.98,0.24,0,2011
0,33.49,33.67,0.18,,1/3/2011,3,3,15,26,4,1,0,2.51,2.53,0.02,0,2011
0,35.95,36.14,0.19,,1/3/2011,3,3,15,26,5,1,0,0,0,0,0,2011
0,39.28,39.59,0.31,,1/3/2011,3,3,15,26,6,1,0,25.95,26.17,0.22,0,2011
0,45.61,45.75,0.14,,1/3/2011,3,3,10,25,7,1,0,54.87,55.37,0.5,0,2011
0,50.07,50.25,0.18,,1/3/2011,3,3,9,23,8,1,0,41.88,42.22,0.34,0,2011
0,49.17,49.32,0.15,,1/3/2011,3,3,9,23,9,1,0,41.41,41.68,0.27,0,2011
0,49.11,49.14,0.03,,1/3/2011,3,3,9,25,10,1,0,53.98,54.44,0.46,0,2011
0,50.65,50.74,0.09,,1/3/2011,3,3,9,26,11,1,0,45.61,46.03,0.42,0,2011
0,53.15,53.2,0.05,,1/3/2011,3,3,7,27,12,1,0,42.43,42.82,0.39,0,2011
0,50.39,50.4,0.01,,1/3/2011,3,3,7,29,13,1,0,46.77,47.21,0.44,0,2011
0,47.71,47.73,0.02,,1/3/2011,3,3,7,30,14,1,0,38.6,38.96,0.36,0,2011
0,46.63,46.67,0.04,,1/3/2011,3,3,7,30,15,1,0,38.6,38.96,0.36,0,2011
0,48.09,48.13,0.04,,1/3/2011,3,3,8,29,16,1,0,38.46,38.81,0.35,0,2011
0,48.37,48.47,0.1,,1/3/2011,3,3,9,27,17,1,0,44.98,45.44,0.46,0,2011
0,80.04,80.07,0.03,,1/3/2011,3,3,10,26,18,1,0,67.06,67.61,0.55,0,2011
0,76.9,76.91,0.01,,1/3/2011,3,3,11,25,19,1,0,66.61,67.13,0.52,0,2011
0,63.24,63.3,0.06,,1/3/2011,3,3,11,25,20,1,0,46.26,46.59,0.33,0,2011
0,58.67,59,0.33,,1/3/2011,3,3,11,24,21,1,0,45.06,45.42,0.36,0,2011
0,49.79,49.93,0.14,,1/3/2011,3,3,11,24,22,1,0,39.37,39.74,0.37,0,2011
0,46.11,46.18,0.07,,1/3/2011,3,3,11,23,23,1,0,39.2,39.52,0.32,0,2011
0,39.46,39.65,0.19,,1/3/2011,3,3,11,21,24,1,0,25.27,25.48,0.21,0,2011
0,38.04,38.33,0.29,,1/4/2011,4,4,11,20,1,1,0,44.06,44.29,0.23,1,2011
0,36.32,36.56,0.24,,1/4/2011,4,4,11,19,2,1,0,44.78,45.2,0.42,1,2011
0,36.16,36.43,0.27,,1/4/2011,4,4,12,20,3,1,0,43.2,43.61,0.41,1,2011
0,36.08,36.32,0.24,,1/4/2011,4,4,12,20,4,1,0,45.68,46.1,0.42,1,2011
-0.08,36.35,36.46,0.19,,1/4/2011,4,4,12,20,5,1,0,46.48,46.87,0.39,1,2011
0,38.25,38.49,0.24,,1/4/2011,4,4,12,20,6,1,0,38.12,38.46,0.34,1,2011
0,41.83,42.03,0.2,,1/4/2011,4,4,11,18,7,1,0,46.9,47.26,0.36,1,2011
-0.41,48.96,48.83,0.28,,1/4/2011,4,4,12,18,8,1,0,51.73,52.16,0.43,1,2011
-0.49,49.43,49.19,0.25,,1/4/2011,4,4,13,20,9,1,0,56.1,56.58,0.48,1,2011
-0.09,50.22,50.27,0.14,,1/4/2011,4,4,14,24,10,1,0,57.73,58.24,0.51,1,2011
